# present_mode=fifo toggle_frames=24 monitor=1
# timestamps are CLOCK_MONOTONIC nanoseconds
toggle_idx,frame_idx,white,t_cmd_ns,t_present_ret_ns
220,5280,1,633925628486160,633925632638464
221,5304,0,633925728526978,633925732662447
222,5328,1,633925828467675,633925832618311
223,5352,0,633925928495055,633925932640896
224,5376,1,633926028469992,633926032643326
225,5400,0,633926128484747,633926132612541
226,5424,1,633926228443344,633926232631053
227,5448,0,633926328441836,633926332624642
228,5472,1,633926428460650,633926432582792
229,5496,0,633926528435319,633926532599084
230,5520,1,633926628476699,633926632608291
231,5544,0,633926728462850,633926732628348
232,5568,1,633926828463898,633926832613169
233,5592,0,633926928428503,633926932620940
234,5616,1,633927028434746,633927032608299
235,5640,0,633927128455448,633927134189295
236,5664,1,633927228458776,633927232589034
237,5688,0,633927329419582,633927332625869
238,5712,1,633927428530057,633927432595884
239,5736,0,633927528452038,633927532601118
240,5760,1,633927628604019,633927632604517
241,5784,0,633927728452087,633927732596455
242,5808,1,633927828426201,633927832590460
243,5832,0,633927928422433,633927932552821
244,5856,1,633928028423292,633928032561304
245,5880,0,633928128424478,633928132576174
246,5904,1,633928228423013,633928232586759
247,5928,0,633928328399971,633928332599413
248,5952,1,633928428406462,633928432599047
249,5976,0,633928528426959,633928532568216
250,6000,1,633928628441933,633928632577199
251,6024,0,633928728433649,633928733809028
252,6048,1,633928828426937,633928832586207
253,6072,0,633928928424197,633928932587877
254,6096,1,633929028448260,633929032574111
255,6120,0,633929128427532,633929132583584
256,6144,1,633929228442102,633929232596303
257,6168,0,633929328491865,633929332588688
258,6192,1,633929428386597,633929432566685
259,6216,0,633929528449692,633929532561769
260,6240,1,633929628365951,633929632564185
261,6264,0,633929728387399,633929732550142
262,6288,1,633929828830395,633929832569939
263,6312,0,633929928426421,633929932546372
264,6336,1,633930028395410,633930032564979
265,6360,0,633930128370914,633930132548590
266,6384,1,633930228488892,633930232560761
267,6408,0,633930328364809,633930332560150
268,6432,1,633930428366192,633930432537348
269,6456,0,633930529202471,633930532543542
270,6480,1,633930628375309,633930632529215
271,6504,0,633930728379080,633930732552895
272,6528,1,633930828368021,633930832545463
273,6552,0,633930928420147,633930932551888
274,6576,1,633931028396227,633931032558875
275,6600,0,633931128389622,633931132533726
276,6624,1,633931228378844,633931232543469
277,6648,0,633931328376359,633931332494137
278,6672,1,633931428374406,633931432514216
279,6696,0,633931528385903,633931532533133
280,6720,1,633931628378644,633931632542249
281,6744,0,633931728372941,633931732522854
282,6768,1,633931828356595,633931832512416
283,6792,0,633931928370365,633931932506348
284,6816,1,633932028341641,633932032521547
285,6840,0,633932128353548,633932132500873
286,6864,1,633932228366457,633932232528060
287,6888,0,633932328361022,633932332521708
288,6912,1,633932428380744,633932432483750
289,6936,0,633932528358035,633932532504145
290,6960,1,633932628313903,633932632504346
291,6984,0,633932728349649,633932732481859
292,7008,1,633932828361169,633932832519441
293,7032,0,633932928332146,633932932492505
294,7056,1,633933028349975,633933032484671
295,7080,0,633933128354718,633933132479340
296,7104,1,633933228405108,633933232541136
297,7128,0,633933328335721,633933332488862
298,7152,1,633933428330731,633933432488167
299,7176,0,633933528329024,633933532455654
