toggle_idx,white,t_cmd_ns,t_photon_ns,latency_ms
221,0,633785582929425,633785597949862,15.020
222,1,633785683410353,633785699983014,16.573
223,0,633785784264571,633785797944301,13.680
224,1,633785884154611,633785899948753,15.794
225,0,633785985473613,633785997944203,12.471
226,1,633786085193980,633786099918654,14.725
227,0,633786186302446,633786197958048,11.656
228,1,633786286562701,633786299981025,13.418
229,0,633786385920535,633786397992135,12.072
230,1,633786486494864,633786499990313,13.495
231,0,633786586480439,633786597971065,11.491
232,1,633786687139091,633786699976610,12.838
233,0,633786788023149,633786797934746,9.912
234,1,633786887804852,633786899981009,12.176
235,0,633786989429395,633786997972516,8.543
236,1,633787089407376,633787099979239,10.572
237,0,633787189678318,633787197977384,8.299
238,1,633787291182081,633787316971950,25.790
239,0,633787390435796,633787414981163,24.545
240,1,633787491288044,633787516951091,25.663
241,0,633787591265452,633787614969672,23.704
242,1,633787691868562,633787720966886,29.098
243,0,633787793364297,633787814949780,21.585
244,1,633787892682662,633787916952282,24.270
245,0,633787994685250,633788014925114,20.240
246,1,633788094359156,633788116890559,22.531
247,0,633788194114842,633788218957004,24.842
248,1,633788295166499,633788316961289,21.795
249,0,633788395349020,633788414983137,19.634
250,1,633788496301114,633788516974801,20.674
251,0,633788596480548,633788614957978,18.477
252,1,633788697432195,633788720958193,23.526
253,0,633788798199367,633788814980014,16.781
254,1,633788898435614,633788916994218,18.559
255,0,633789000197488,633789014978115,14.781
256,1,633789101102622,633789120960949,19.858
257,0,633789201308573,633789218948522,17.640
258,1,633789301917972,633789317004930,15.087
259,0,633789403559395,633789418980056,15.421
260,1,633789503008325,633789520958858,17.951
261,0,633789604082832,633789618962491,14.880
262,1,633789704277302,633789720929357,16.652
263,0,633789804914243,633789818982345,14.068
264,1,633789905768018,633789920962943,15.195
265,0,633790006802384,633790018976098,12.174
266,1,633790106779789,633790120951611,14.172
267,0,633790206758843,633790218957623,12.199
268,1,633790307641158,633790320980380,13.339
269,0,633790408475758,633790418953961,10.478
270,1,633790508403270,633790520975473,12.572
271,0,633790609256440,633790634973678,25.717
272,1,633790708390812,633790720977777,12.587
273,0,633790808896536,633790818988295,10.092
274,1,633790910302393,633790937971463,27.669
275,0,633791010632096,633791034953161,24.321
276,1,633791110759240,633791137970733,27.211
277,0,633791209990458,633791234981017,24.991
278,1,633791310722151,633791337973514,27.251
279,0,633791412278525,633791434965097,22.687
280,1,633791511615149,633791537974830,26.360
281,0,633791612417321,633791634950780,22.533
282,1,633791712161817,633791737952692,25.791
283,0,633791812615358,633791834896191,22.281
284,1,633791913379547,633791937967506,24.588
285,0,633792014158253,633792034928204,20.770
286,1,633792114206405,633792137941008,23.735
287,0,633792213444294,633792234937550,21.493
288,1,633792314055989,633792337950359,23.894
289,0,633792414636947,633792434964286,20.327
290,1,633792514702804,633792537916650,23.214
291,0,633792615379926,633792634947936,19.568
292,1,633792715307119,633792737940779,22.634
293,0,633792816180186,633792834984199,18.804
294,1,633792917402069,633792937935841,20.534
295,0,633793018324788,633793035001815,16.677
296,1,633793118357518,633793137940286,19.583
297,0,633793219183759,633793234892746,15.709
