toggle_idx,white,t_cmd_ns,t_photon_ns,latency_ms
215,0,634514229929172,634514239471447,9.542
216,1,634514329981009,634514341544609,11.564
217,0,634514429983305,634514439486925,9.504
218,1,634514529966802,634514541549482,11.583
219,0,634514629994865,634514639577481,9.583
220,1,634514730023109,634514741475516,11.452
221,0,634514829998234,634514839575837,9.578
222,1,634514930024384,634514941568147,11.544
223,0,634515030346814,634515043620562,13.274
224,1,634515130350610,634515146617392,16.267
225,0,634515230294063,634515239452430,9.158
226,1,634515330307933,634515341621093,11.313
227,0,634515430346674,634515439558858,9.212
228,1,634515530309864,634515541560848,11.251
229,0,634515630314555,634515639491530,9.177
230,1,634515730327304,634515741605838,11.279
231,0,634515830339868,634515839546910,9.207
232,1,634515930308678,634515941561483,11.253
233,0,634516030129876,634516039528979,9.399
234,1,634516130121203,634516141500591,11.379
235,0,634516230123241,634516239504349,9.381
236,1,634516330157295,634516341573673,11.416
237,0,634516430151647,634516439525544,9.374
238,1,634516530130205,634516541502280,11.372
239,0,634516630095725,634516639439485,9.344
240,1,634516730129978,634516741483822,11.354
241,0,634516830124203,634516839536336,9.412
242,1,634516930084688,634516941499606,11.415
243,0,634517030095842,634517039522390,9.427
244,1,634517130088871,634517141483758,11.395
245,0,634517230065909,634517239475489,9.410
246,1,634517330061213,634517341525167,11.464
247,0,634517430100212,634517439526747,9.427
248,1,634517530092609,634517541475460,11.383
249,0,634517630095144,634517639523699,9.429
250,1,634517730100280,634517741524027,11.424
251,0,634517830071036,634517839478208,9.407
252,1,634517930098877,634517941486710,11.388
253,0,634518030101987,634518039562031,9.460
254,1,634518130088744,634518141465709,11.377
255,0,634518230052401,634518239460194,9.408
256,1,634518330156483,634518341571297,11.415
257,0,634518430128173,634518439535224,9.407
258,1,634518530100468,634518541614469,11.514
259,0,634518630122449,634518639556593,9.434
260,1,634518730138191,634518746473442,16.335
261,0,634518830144066,634518839525829,9.382
262,1,634518930205205,634518941471631,11.266
263,0,634519030215416,634519039543367,9.328
264,1,634519130201962,634519141662838,11.461
265,0,634519230135589,634519239506259,9.371
266,1,634519330143417,634519341461565,11.318
267,0,634519430227715,634519439557770,9.330
268,1,634519530147570,634519541454744,11.307
269,0,634519630216406,634519639529653,9.313
270,1,634519730223202,634519741567532,11.344
271,0,634519830168364,634519843583774,13.415
272,1,634519930157115,634519941614817,11.458
273,0,634520030161395,634520039576807,9.415
274,1,634520130159237,634520141570706,11.411
275,0,634520230172747,634520243455321,13.283
276,1,634520330091182,634520341625692,11.535
277,0,634520430174767,634520439490981,9.316
278,1,634520530176224,634520541615235,11.439
279,0,634520630177733,634520643612227,13.434
280,1,634520730201532,634520741532304,11.331
281,0,634520830073327,634520839571419,9.498
282,1,634520930100746,634520941539551,11.439
283,0,634521030125995,634521039543089,9.417
284,1,634521130128633,634521141616713,11.488
285,0,634521230133561,634521239555480,9.422
286,1,634521330121162,634521341587127,11.466
287,0,634521430126167,634521443584729,13.459
288,1,634521530120915,634521545567124,15.446
289,0,634521630117777,634521643562179,13.444
290,1,634521730130023,634521741591263,11.461
291,0,634521830141220,634521839603079,9.462
292,1,634521930128192,634521941607158,11.479
293,0,634522030139233,634522039605017,9.466
294,1,634522130127868,634522141598223,11.470
295,0,634522230139085,634522239488187,9.349
296,1,634522330143145,634522345582123,15.439
297,0,634522430141086,634522443566136,13.425
298,1,634522530138759,634522545543845,15.405
299,0,634522630105774,634522639528352,9.423
